H0	H1	H2	C0	C1	C2	
ENSG00000000003	4628	5940	3809	5079	6506	2623
ENSG00000000005	177	4	4	29	0	0
ENSG00000000419	2589	1255	1876	1501	1252	370
ENSG00000000457	309	695	316	582	2451	268
ENSG00000000460	997	591	434	1165	1407	156
ENSG00000000971	1	0	0	0	0	0
ENSG00000001036	1039	779	1576	646	1160	525
ENSG00000001084	2100	750	851	1257	373	547
ENSG00000001167	1469	1755	1655	1905	2944	949
ENSG00000001460	238	186	463	41	38	42
ENSG00000001461	263	519	1139	284	1519	1709
ENSG00000001497	2675	1277	1270	2072	1210	410
ENSG00000001561	254	94	211	389	467	214
ENSG00000001617	1240	1040	468	2234	2350	87
ENSG00000001626	25	73	10	18	236	47
ENSG00000002016	355	339	107	267	468	105
ENSG00000002079	0	0	23	4	1	7
ENSG00000002330	318	461	408	256	558	282
ENSG00000002549	937	849	573	1256	1413	847
ENSG00000002587	27	268	20	17	302	15
ENSG00000002745	3	1	1	0	0	1
ENSG00000002746	58	5	46	49	4	11
ENSG00000002822	294	455	363	262	757	351
ENSG00000002834	6288	10435	15234	4728	15170	11598
ENSG00000002919	744	423	663	560	647	445
ENSG00000003056	2928	2843	2192	3432	3893	1664
ENSG00000003096	516	158	136	1561	697	80
ENSG00000003137	2	99	55	25	26	13
ENSG00000003147	718	425	37	408	490	110
ENSG00000003249	55	5	2	10	17	23
ENSG00000003393	2139	3040	2452	1660	3893	1382
ENSG00000003400	75	12	81	81	23	9
ENSG00000003402	66	134	985	183	404	715
ENSG00000003436	79	293	882	340	86	430
ENSG00000003509	1659	432	398	701	496	175
ENSG00000003756	1369	2552	2423	1732	4984	823
ENSG00000003987	205	205	40	199	127	47
ENSG00000003989	1412	24585	1969	740	1805	215
ENSG00000004059	3299	4460	2196	2605	5747	1141
ENSG00000004139	23	16	68	27	27	59
ENSG00000004142	2872	2378	2692	3553	3468	1527
ENSG00000004399	1239	779	4223	450	2580	2002
ENSG00000004455	1925	892	1819	3644	2060	779
ENSG00000004468	14	0	46	21	7	2
ENSG00000004478	2928	1214	1565	2298	867	686
ENSG00000004487	9688	3942	4021	9546	5346	1811
ENSG00000004534	2955	2612	1447	2483	3936	734
ENSG00000004660	357	33	117	318	87	64
